date,type,name,author,publish,rating,comment,count
8/17/25,book,在路上,J. Kerouac,1957,10,非常美丽而浪漫的公路小说，为了它我可以再次爱上美国,241000
9/5/25,book,抬高房梁，木匠们/西摩小传,J.D. Salinger,1963,6,抬高房梁还不错，西摩小传无法欣赏,46000
12/23/23,movie,燃冬,陈哲艺,2023,4,拍摄手法出了大问题,
1/19/24,movie,咒,柯孟融,2022,7,邪教片，拍得不错，作为无神论者没啥后劲,
1/19/24,movie,1991: The Year Punk Broke,D. Markey,1992,6,音乐录影带。现场很棒，叙事几乎没有。说好听点就是很忠实的客观记录吧,
2/17/24,movie,Withnail & I,B. Robinson,1987,8,疯子天才Withnail和没那么天才却也没那么疯的Marwood，需要有一定英国文化和时代背景知识储备才能有感触的电影…心情和电影里的阴雨一般闷闷的,
3/15/24,movie,DIG!,O. Timoner,2004,8,在乐队纪录片中算质量很高了，我觉得可以与Supersonic媲美。讲的是90S Mozart vs. Salieri (Brian Jonestown Massacre vs. The Dandy Warhols) 的故事，虽然这样的叙事是以消耗客观性为代价的，但作为电影很棒,
4/1/24,movie,All Watched Over by Machines of Loving Grace,A. Curtis,2011,8,相当不错的纪录片，观后感得单独摘出来写,
5/26/24,movie,This Is Spinal Tap,R. Reiner,1984,7,狠狠地拿摇滚文化开涮了，感想是很爽,
5/26/24,movie,Beautiful Noise,E. Green,2014,7,著名的盯鞋纪录片，信息量蛮足的，和这个genre一样是性冷淡风（笑,
5/29/24,movie,Upside Down: The Creation Records Story,D. O'Connor,2010,8,比McGee自己写的那书好看多了,
10/20/24,movie,Blade Runner 2049,D. Villeneuve,2017,7,剧情有点落入俗套，每个人一张嘴你就知道他们想要说什么,
10/20/24,movie,The Shape Of Water,G. del Toro,2017,8,Underrepresented Baltimore people beat the shit out of a Texas racist。虽然剧情很老套但人外太萌音乐太好听画面太美我原谅了一切，喜欢chill到爆的巴尔的摩vibe,
12/22/24,movie,蓦然回首,藤本树/押山清高,2024,8,蛮好的虽然感觉节奏把控上和原作有挺大区别……这个分主要还是给原作,
12/22/24,movie,狂飙,徐纪周,2023,9,非常好看的警匪剧,
12/24/24,movie,Blade Runner,R. Scott,1982,10,重温了一遍还是觉得非常完美,
12/26/24,movie,Lost in Translation ,S. Coppola,2003,10,很好看的片子…总之就是很好看的片子，讲述成年人生活的困惑,
12/26/24,movie,My Own Private Idaho,Gus Van Sant,1991,10,非常喜欢的氛围和节奏，让人看了觉得悲伤且无力，但又不会愤怒，只是淡淡的……,
6/5/25,movie,Nosferatu,R. Eggers,2024,7,吸血鬼色情片，吸血鬼草了男女主两个人,
8/14/25,movie,魔法少女小圆,新房昭之,2011,9,叙事非常完满的杰作，无须多言,
10/26/25,movie,电锯人剧场版：蕾塞篇,藤本树/吉原达矢,2025,7,打斗画面非常可以，但完全没给context，不看原著估计一头雾水,
11/25/25,movie,Harry Potter and the Prisoner of Azkaban,A. C. Orozco,2004,8,唯一一部值得看第二遍的哈利波特电影,
12/18/25,movie,The Aviator,M. Scorsese,2004,8,蛮好的，开飞机的部分很喜欢，结尾略有点意犹未尽,
12/19/25,movie,The Banshees of Inisherin,M. McDonagh,2022,7,略微有点意味不明，但画面非常美丽,
12/23/25,movie,Zootopia 2,J. Bush/B. Howard,2025,7,平平无奇的迪士尼电影，情节有点偷懒了，但画面和细节值得,
12/31/25,movie,Avatar 3: Fire and Ashes,J. Cameron,2025,7,同上,
1/3/26,movie,死亡笔记,大场鸫/小畑健,2006,10,犯罪/推理杰作，情节、节奏和画风都非常完美，看得爽死,
1/10/26,movie,绣春刀,路阳,2014,8,张震一如既往的帅，服化道还是那么棒，剧情和某几个人演技有点硬伤，不过瑕不掩瑜,
1/17/26,movie,Joan Didion: The Center Will Not Hold,G. Dunne,2017,8,不错的纪录片,
